"Location";"Latitude (decimal)";"Longitude (decimal)";"Year of issue";"Diplomas";"Shire";"Donated in royal diploma at (location)";"Prom Lat";"Prom Lon"
"Abbots Bromley";;;"942";"S 479";"Staffordshire";"Winchcombe"
"Branston";;;"942";"S 479";"Staffordshire";"Winchcombe"
"Clifton";;;"942";"S 479";"Staffordshire";"Winchcombe"
"Haunton";;;"942";"S 479";"Staffordshire";"Winchcombe"
"Kings Bromley";;;"942";"S 479";"Staffordshire";"Winchcombe"
"Rolleston";;;"942";"S 479";"Staffordshire";"Winchcombe"
"Stretton";;;"942";"S 479";"Staffordshire";"Winchcombe"
"Tatenhill";;;"942";"S 479";"Staffordshire";"Winchcombe"
"Derantune (? Durrington)";;;"934";"S 425";"Sussex";"Winchester"
"Hurstbourne Priors";;;"900";"S 358";"Hampshire";"Winchester"
"Sparcells in Lydiard Millicent";;;"900";"S 359";"Wiltshire";"Winchester"
"Stoke by Hurstbourne";;;"900";"S 359";"Hampshire";"Winchester"
"Chisledon";;;"900, 901";"S 359, S 366";"Wiltshire";"Winchester, Southampton"
"(Bishops) Lydeard";;;"1065";"S 1042";"Somerset";"Windsor"
"(East) Wanstrow";;;"1065";"S 1042";"Somerset";"Windsor"
"Binegar";;;"1065";"S 1042";"Somerset";"Windsor"
"Bleadney";;;"1065";"S 1042";"Somerset";"Windsor"
"Chew Magna";;;"1065";"S 1042";"Somerset";"Windsor"
"Combe St Nicholas";;;"1065";"S 1042";"Somerset";"Windsor"
"Congresbury";;;"1065";"S 1042";"Somerset";"Windsor"
"Evercreech";;;"1065";"S 1042";"Somerset";"Windsor"
"Kingsbury";;;"1065";"S 1042";"Somerset";"Windsor"
"Litton";;;"1065";"S 1042";"Somerset";"Windsor"
"Wedmore";;;"1065";"S 1042";"Somerset";"Windsor"
"Wells";;;"1065";"S 1042";"Somerset";"Windsor"
"Westbury";;;"1065";"S 1042";"Somerset";"Windsor"
"Winsham";;;"1065";"S 1042";"Somerset";"Windsor"
"Withycombe";;;"1065";"S 1042";"Somerset";"Windsor"
"Armingford";;;"970, 970";"S 776, S 779";"Cambridgeshire";"Woolmer"
"Farleigh";;;"898";"S 350";"Kent";"Woolmer"
"Melbourn";;;"970, 970";"S 776, S 779";"Cambridgeshire";"Woolmer"
"Northwold";;;"970";"S 779";"Norfolk";"Woolmer"
"Ely";;;"957, 970";"S 646, S 776";"Cambridgeshire";"Woolmer, Edington"
"Watchfield";;;"931";"S 413";"Berkshire";"Worthy"
