Location,Latitude (decimal),Longitude (decimal),Year of issue,Diplomas,Shire,Donated in royal diploma at (location),Prom Lat,Prom Lon,Latitude (programmatic),Longitude (programmatic),Certainty,Sources
Aldenham,,,1066,S 1043,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Amersham,,,1066,S 1043,Buckinghamshire,Westminster,51.5004439,-0.1265398,,,,
Ashwell,,,1066,S 1043,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Ayot (St Lawrence),,,1066,S 1043,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Brickendon,,,998,S 894,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Chollington in Eastbourne,,,1066,S 1043,Sussex,Westminster,51.5004439,-0.1265398,,,,
Claygate,,,1066,S 1043,Surrey,Westminster,51.5004439,-0.1265398,,,,
Cowley Peachey,,,998,S 894,Middlesex,Westminster,51.5004439,-0.1265398,,,,
Datchworth,,,1066,S 1043,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Deene,,,1066,S 1043,Northamptonshire,Westminster,51.5004439,-0.1265398,,,,
Deerhurst,,,1066,S 1043,Gloucestershire,Westminster,51.5004439,-0.1265398,,,,
Denham,,,1066,S 1043,Buckinghamshire,Westminster,51.5004439,-0.1265398,,,,
Fanton (Hall) in North Benfleet,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
Greenford,,,1066,S 1043,Middlesex,Westminster,51.5004439,-0.1265398,,,,
Hampstead,,,"998, 1066","S 894, S 1043",Middlesex,Westminster,51.5004439,-0.1265398,,,,
Hanwell,,,998,S 894,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Hendon,,,"998, 1066","S 894, S 1043",Middlesex,Westminster,51.5004439,-0.1265398,,,,
Holwell,,,1066,S 1043,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Islip,,,1066,S 1043,Oxfordshire,Westminster,51.5004439,-0.1265398,,,,
Kelvedon,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
Kelvedon Hatch,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
Latchingdon,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
Launton,,,1066,S 1043,Oxfordshire,Westminster,51.5004439,-0.1265398,,,,
Lessness,,,1066,S 1043,Kent,Westminster,51.5004439,-0.1265398,,,,
Leyton,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
"Lothereslege (lost,  in Hendon)",,,998,S 894,Middlesex,Westminster,51.5004439,-0.1265398,,,,
Mapulderforde (? Maplestead),,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
Morden,,,1066,S 1043,Surrey,Westminster,51.5004439,-0.1265398,,,,
Moulsham,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
Paddington,,,998,S 894,Middlesex,Westminster,51.5004439,-0.1265398,,,,
Paglesham,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
Parham,,,1066,S 1043,Sussex,Westminster,51.5004439,-0.1265398,,,,
Pershore,,,1066,S 1043,Worcestershire,Westminster,51.5004439,-0.1265398,,,,
Perton,,,1066,S 1043,Staffordshire,Westminster,51.5004439,-0.1265398,,,,
Rayne,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
Rutland (shire),,,1066,S 1043,Rutland,Westminster,51.5004439,-0.1265398,,,,
Shepperton,,,"998, 1066","S 894, S 1043",Middlesex,Westminster,51.5004439,-0.1265398,,,,
Staines,,,1066,S 1043,Middlesex,Westminster,51.5004439,-0.1265398,,,,
Stevenage,,,1066,S 1043,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Sudborough,,,1066,S 1043,Northamptonshire,Westminster,51.5004439,-0.1265398,,,,
Sullington,,,998,S 894,Sussex,Westminster,51.5004439,-0.1265398,,,,
Sunbury,,,1066,S 1043,Middlesex,Westminster,51.5004439,-0.1265398,,,,
Wanstead,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
Watton-at-Stone,,,1066,S 1043,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Weedon,,,1066,S 1043,Buckinghamshire,Westminster,51.5004439,-0.1265398,,,,
Wennington,,,1066,S 1043,Essex,Westminster,51.5004439,-0.1265398,,,,
West Chiltington,,,1066,S 1043,Sussex,Westminster,51.5004439,-0.1265398,,,,
Westminster (town),,,"998, 1066","S 894, S 1043",Middlesex,Westminster,51.5004439,-0.1265398,,,,
Wheathampstead,,,1066,S 1043,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Windsor,,,1066,S 1043,Berkshire,Westminster,51.5004439,-0.1265398,,,,
Wormley,,,1066,S 1043,Hertfordshire,Westminster,51.5004439,-0.1265398,,,,
Collingbourne,,,933,S 379,Wiltshire,Wilton,51.0805315,-1.8607051,,,,
Abbots Bromley,,,942,S 479,Staffordshire,Winchcombe,51.9527513,-1.9675136,,,,
Branston,,,942,S 479,Staffordshire,Winchcombe,51.9527513,-1.9675136,,,,
Clifton,,,942,S 479,Staffordshire,Winchcombe,51.9527513,-1.9675136,,,,
Haunton,,,942,S 479,Staffordshire,Winchcombe,51.9527513,-1.9675136,,,,
Kings Bromley,,,942,S 479,Staffordshire,Winchcombe,51.9527513,-1.9675136,,,,
Rolleston,,,942,S 479,Staffordshire,Winchcombe,51.9527513,-1.9675136,,,,
Stretton,,,942,S 479,Staffordshire,Winchcombe,51.9527513,-1.9675136,,,,
Tatenhill,,,942,S 479,Staffordshire,Winchcombe,51.9527513,-1.9675136,,,,
Derantune (? Durrington),,,934,S 425,Sussex,Winchester,51.0612766,-1.3131692,,,,
Hurstbourne Priors,,,900,S 358,Hampshire,Winchester,51.0612766,-1.3131692,,,,
Sparcells in Lydiard Millicent,,,900,S 359,Wiltshire,Winchester,51.0612766,-1.3131692,,,,
Stoke by Hurstbourne,,,900,S 359,Hampshire,Winchester,51.0612766,-1.3131692,,,,
Chisledon,,,"900, 901","S 359, S 366",Wiltshire,"Winchester, Southampton",50.9262828,-1.4381007,,,,
(Bishops) Lydeard,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
(East) Wanstrow,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Binegar,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Bleadney,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Chew Magna,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Combe St Nicholas,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Congresbury,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Evercreech,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Kingsbury,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Litton,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Wedmore,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Wells,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Westbury,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Winsham,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Withycombe,,,1065,S 1042,Somerset,Windsor,51.4837886,-0.6040419,,,,
Armingford,,,"970, 970","S 776, S 779",Cambridgeshire,Woolmer,51.0937792,-0.7481479,,,,
Farleigh,,,898,S 350,Kent,Woolmer,51.0937792,-0.7481479,,,,
Melbourn,,,"970, 970","S 776, S 779",Cambridgeshire,Woolmer,51.0937792,-0.7481479,,,,
Northwold,,,970,S 779,Norfolk,Woolmer,51.0937792,-0.7481479,,,,
Ely,,,"957, 970","S 646, S 776",Cambridgeshire,"Woolmer, Edington",,,,,,
Watchfield,,,931,S 413,Berkshire,Worthy,51.1033985,-1.3008489,,,,
