Location,Latitude (decimal),Longitude (decimal),Year of issue,Diplomas,Shire,Donated in royal diploma at (location),Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat Fallback,Estate Lon Fallback,Distance,Distance numeric
Warkton,,,"946",S 520,Northamptonshire,Kingston-on-Thames,"52.417541","-0.6602266",Shire match,,"51.6743611","-1.2821216","52.417541","-0.6602266","93.05002985376576",
Werburginland (? Way (Wayborough) near Minster),"51.33893042155948","1.3294571783332891","924",S 394,Kent,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216","51.33893042155948","1.3294571783332891","185.1127672494951",
West Clandon,,,"933",S 420,Surrey,Kingston-on-Thames,"51.2608611","-0.5103708",Shire match,,"51.6743611","-1.2821216","51.2608611","-0.5103708","70.65685911028004",
Weybridge,,,"933",S 420,Surrey,Kingston-on-Thames,"51.3727175","-0.4549297",Shire match,,"51.6743611","-1.2821216","51.3727175","-0.4549297","66.49996469798448",
White Waltham,,,"933",S 420,Berkshire,Kingston-on-Thames,"51.4908971","-0.7683543",No shire match,,"51.6743611","-1.2821216","51.4908971","-0.7683543","41.04675973611468",
Woodham in Chertsey,"51.34471656044295","-0.512534301589047","933",S 420,Surrey,Kingston-on-Thames,,,Not found,,"51.6743611","-1.2821216","51.34471656044295","-0.512534301589047","64.80529898887808",
Ewell,,,"933",S 420,Surrey,Kingston-on-Thames,"51.3502402","-0.2511759",Shire match,,"51.6743611","-1.2821216","51.3502402","-0.2511759","80.14062928063461",
Ham,,,"931",S 416,Wiltshire,"Lifton, Westminster","51.3567244","-1.5189153",Shire match,,missing value,missing value,"51.3567244","-1.5189153",,
Brabourne,,,"996",S 877,Kent,London,"51.1390871","0.9804239",Shire match,,"51.4893335","-0.1440551","51.1390871","0.9804239","87.54966253887368",
Burhwarefelda,,,"996",S 877,Kent,London,,,Not found,Don't know!,"51.4893335","-0.1440551",,,,
Chalk,,,"996",S 877,Kent,London,"51.4321057","0.3993639",Shire match,,"51.4893335","-0.1440551","51.4321057","0.3993639","38.30055557588944",
Cofton Hackett,,,"934",S 428,Worcestershire,London,"52.3776093","-1.9965531",Shire match,,"51.4893335","-0.1440551","52.3776093","-1.9965531","161.2451098230223",
Crowland,,,"1032",S 965,Lincolnshire,London,"52.6847789","-0.1578674",Shire match,,"51.4893335","-0.1440551","52.6847789","-0.1578674","133.01937936162432",
Evegate,,,"996",S 877,Kent,London,"51.1133754","0.9541013",Shire match,,"51.4893335","-0.1440551","51.1133754","0.9541013","87.26348880811646",
Hopwood in Alvechurch,"52.37258795883031","-1.959276190229924","934",S 428,Worcestershire,London,,,Not found,,"51.4893335","-0.1440551","52.37258795883031","-1.959276190229924","158.8866714335753",
Nackington,,,"996",S 877,Kent,London,"51.2495575","1.0896208",Shire match,,"51.4893335","-0.1440551","51.2495575","1.0896208","89.95666105568273",
Rednal in Kings Norton,"52.39280996480654","-2.0012289994058814","934",S 428,Worcestershire,London,,,Not found,,"51.4893335","-0.1440551","52.39280996480654","-2.0012289994058814","162.52278282883606",
Wast Hills,,,"934",S 428,Worcestershire,London,"52.389624","-1.9487923",Shire match,,"51.4893335","-0.1440551","52.389624","-1.9487923","159.48588705513228",
Werstfelda,,,"934",S 428,Worcestershire,London,,,Not found,Don't know!,"51.4893335","-0.1440551",,,,
Wirigenn (? Perry),,,"996",S 877,Kent,London,,,Not found,"Need to consult Robertson, Charters: Robertson, A. J., Anglo-Saxon Charters, 2nd edn (Cambridge, 1956) pp. 336-51","51.4893335","-0.1440551",,,,
Earnley,,,"930",S 403,Sussex,Lyminster,"50.7615064","-0.8368306",Shire match,,"50.8339978","-0.5475421","50.7615064","-0.8368306","21.9319281694647",
Medmerry,,,"930",S 403,Sussex,Lyminster,"50.7352691","-0.8105161",Shire match,,"50.8339978","-0.5475421","50.7352691","-0.8105161","21.553666436852563",
