Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Diploma authenticity (as in Notion),Category of diploma authenticity (quadripartite simplification),Beneficiary,Beneficiary: commu or person,Beneficiary person: lay or ecclesiastic,Diploma preserved at (archive),Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Archive Lat,Archive Lon,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance between estate and promulgation site,Distance between estate and archive,Int Estate Promulgation Distance
Wennington,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Essex,Westminster,"51.5065473","0.2171623",Shire match,,,,"51.5004439","-0.1265398","51.5065473","0.2171623","23.8746624167",,
West Chiltington,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Sussex,Westminster,"50.9558921","-0.44852",Shire match,,,,"51.5004439","-0.1265398","50.9558921","-0.44852","64.6228416896",,
Westminster (town),"51.4977204626","-0.1351907105","1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Middlesex,Westminster,,,Not found,,,,"51.5004439","-0.1265398","51.4977204626","-0.1351907105","0.6728258978",,
Wheathampstead,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.8126524","-0.2936637",Shire match,,,,"51.5004439","-0.1265398","51.8126524","-0.2936637","36.6112720043",,
Windsor,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Berkshire,Westminster,"51.4837886","-0.6040419",No shire match,,,,"51.5004439","-0.1265398","51.4837886","-0.6040419","33.215382602",,
Wormley,,,"1066",S 1043,spurious,spurious,Westminster abbey,community,,Westminster,"1",Hertfordshire,Westminster,"51.7328989","-0.0244303",Shire match,,,,"51.5004439","-0.1265398","51.7328989","-0.0244303","26.8125197386",,
Walden,,,"888",S 220,authentic basis,likely authentic,Wulfgar 2,person,lay,St Alban's,"1",Hertfordshire,Droitwich,"51.8811097","-0.2760921",Shire match,,,,"52.26851","-2.1486075","51.8811097","-0.2760921","135.4245521351",,
Caughley in Barrow,"52.6019997292","-2.4905707328","901",S 221,authentic,authentic,Much Wenlock,community,,Much Wenlock,"1",Shropshire,Shrewsbury,,,Not found,"Quite unsure, placed between Caughley Close and Church of St Giles, Barrow",,,"52.707755","-2.7540658","52.6019997292","-2.4905707328","21.3644972724",,
Stanton Long,,,"901",S 221,authentic,authentic,Much Wenlock,community,,Much Wenlock,"1",Shropshire,Shrewsbury,"52.5119182","-2.6309747",Shire match,,,,"52.707755","-2.7540658","52.5119182","-2.6309747","23.333239854",,
Easthope,,,"901",S 221,authentic,authentic,,,,,"1",Shropshire,Shrewsbury,"52.5535522","-2.640828",Shire match,"CONSIDER REMOVING: WAS NOT DONATED BY MONARCH, WAS RECEIVED BY MONARCH IN EXCHANGE FOR ANOTHER PROPRETY",,,"52.707755","-2.7540658","52.5535522","-2.640828","18.7945935641",,
Patton,,,"901",S 221,authentic,authentic,,,,,"1",Shropshire,Shrewsbury,"52.5514734","-2.6131182",Shire match,"CONSIDER REMOVING: WAS NOT DONATED BY MONARCH, WAS RECEIVED BY MONARCH IN EXCHANGE FOR ANOTHER PROPRETY",,,"52.707755","-2.7540658","52.5514734","-2.6131182","19.8374315563",,
Farnborough,"51.2998205472","-0.7607200896","915",S 225,authentic basis (details probably altered),likely authentic,Eadric 7,person,lay,Abingdon,"1","Berkshire, Warwickshire",Weardburg,,,Not found,,,,"53.3364036722","-3.3365855251","51.2998205472","-0.7607200896","286.6793275314",,
Cyricestun (? Somerset),,,"882",S 345,authentic (later copy some contamination possible),likely authentic,Æthelstan 9,person,lay,"Winchester, Old Minster","1",Somerset,Epsom,,,Not found,,,,"51.3326098","-0.2678212",,,,,
Farleigh,,,"898",S 350,probably authentic,likely authentic,Sigehelm 4,person,lay,"Canterbury, Christ Church","1",Kent,Woolmer,"51.4073813","0.8506409",Shire match,,,,"51.0937792","-0.7481479","51.4073813","0.8506409","116.9481749345",,
Chelworth in Crudwell,"51.6464748052","-2.0447458975","885",S 356,authentic (later copy some contamination possible),likely authentic,Dudig 1,person,lay,Malmesbury,"1",Wiltshire,Malmesbury,,,Not found,,,,"51.58447","-2.0982042","51.6464748052","-2.0447458975","7.8295634761",,
Hurstbourne Priors,,,"900",S 358,disputed (probably spurious),likely spurious,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Hampshire,Winchester,"51.2159726","-1.3754484",Shire match,,,,"51.0612766","-1.3131692","51.2159726","-1.3754484","17.7534741294",,
Sparcells in Lydiard Millicent,"51.578686346","-1.8299195689","900",S 359,disputed suspicious (and/or opinions vary),likely authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Wiltshire,Winchester,,,Not found,,,,"51.0612766","-1.3131692","51.578686346","-1.8299195689","67.9068695494",,
Stoke by Hurstbourne,"51.2647342191","-1.4240698541","900",S 359,disputed suspicious (and/or opinions vary),likely authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Hampshire,Winchester,,,Not found,,,,"51.0612766","-1.3131692","51.2647342191","-1.4240698541","23.9274236122",,
Chisledon,"51.5182719531","-1.7316716523","900",S 359,disputed suspicious (and/or opinions vary),likely authentic,"Winchester, Old Minster",community,,"Winchester, Old Minster","1",Wiltshire,Winchester,,,Not found,Anglo-Saxon church https://historicengland.org.uk/listing/the-list/list-entry/1023312?section=official-list-entry,,,"51.0612766","-1.3131692","51.5182719531","-1.7316716523","58.628066652",,
Micheldever,"51.148569","-1.265595","900",S 360,spurious,spurious,"Winchester, Old Minster",community,,"Winchester, New Minster","1",Hampshire,Southampton,"51.1573724","-1.2576789",Shire match,,,,"50.9025349","-1.404189","51.148569","-1.265595","29.0468462353",,
Worthy,,,"900",S 360,spurious,spurious,"Winchester, Old Minster",community,,"Winchester, New Minster","1",Hampshire,Southampton,"51.1033985","-1.3008489",Shire match,,,,"50.9025349","-1.404189","51.1033985","-1.3008489","23.4935956112",,
Fovant,"51.059","-1.996","901",S 364,disputed (may be authentic),likely authentic,Wihtbrord 5,person,lay,Wilton,"1",Wiltshire,Axminster,"51.0554611","-1.9926309",Shire match,,,,"50.7820966","-2.9979915","51.059","-1.996","76.8964105444",,
Chisledon,"51.5182719531","-1.7316716523","901",S 366,probably authentic,likely authentic,"Winchester, Old Minster",community,,"Winchester, New Minster","1",Wiltshire,Southampton,,,Not found,Anglo-Saxon church https://historicengland.org.uk/listing/the-list/list-entry/1023312?section=official-list-entry,,,"50.9025349","-1.404189","51.5182719531","-1.7316716523","72.2233518597",,
Stanton St Bernard,,,"903",S 368,authentic,authentic,Ordlaf 1,person,lay,Wilton,"1",Wiltshire,Milton,"51.3649969","-1.8630506",Shire match,,,,"52.2422961","0.1604726","51.3649969","-1.8630506","170.3136879511",,
Hardwell in Compton Beauchamp,"51.5795932182","-1.5932423455","903",S 369,authentic,authentic,Tata 1,person,lay,Abingdon,"1",Berkshire,Southampton,,,Not found,,,,"50.9025349","-1.404189","51.5795932182","-1.5932423455","76.4728463453",,
Micheldever,"51.148569","-1.265595","903",S 370,spurious,spurious,"Winchester, Old Minster",community,,"Winchester, New Minster","1",Hampshire,Southampton,"51.1573724","-1.2576789",Shire match,,,,"50.9025349","-1.404189","51.148569","-1.265595","29.0468462353",,
