Location,Estate Lat (WIP),Estate Lon (WIP),Year of issue,Diplomas,Num diplomas,Shire,Promulgation site,Lat (comp.),Lon (comp.),Predicted accuracy,Notes,Prom Lat,Prom Lon,Estate Lat,Estate Lon,Distance
Byfleet,,,933,S 420,1,Surrey,Kingston-on-Thames,51.3401727,-0.472897,Shire match,,51.6743611,-1.2821216,51.3401727,-0.472897,67.3720888481015
Carshalton (Æuueltone),51.3647271224087,-0.16381710249255,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,51.3647271224087,-0.16381710249255,84.9222856669582
Cealuadune (Chaldon),51.2804383333894,-0.117827392792368,927,S 420,1,Surrey,Kingston-on-Thames,,,Not found,,51.6743611,-1.2821216,51.2804383333894,-0.117827392792368,91.9976243684097
Cheam,,,928,S 420,1,Surrey,Kingston-on-Thames,51.3518694,-0.2229866,Shire match,,51.6743611,-1.2821216,51.3518694,-0.2229866,81.8121204017623
Chertsey,,,929,S 420,1,Surrey,Kingston-on-Thames,51.392296,-0.5038294,Shire match,,51.6743611,-1.2821216,51.392296,-0.5038294,62.4610261687899
Chipstead,,,930,S 420,1,Surrey,Kingston-on-Thames,51.3093522,-0.1693688,Shire match,,51.6743611,-1.2821216,51.3093522,-0.1693688,87.3026090345203
Chobham,,,931,S 420,1,Surrey,Kingston-on-Thames,51.3477705,-0.6010128,Shire match,,51.6743611,-1.2821216,51.3477705,-0.6010128,59.6332257770862
Cobham,,,932,S 420,1,Surrey,Kingston-on-Thames,51.3300079,-0.4120821,Shire match,,51.6743611,-1.2821216,51.3300079,-0.4120821,71.5363315285982
Coulsdon,,,933,S 420,1,Surrey,Kingston-on-Thames,51.29723,-0.1061029,Shire match,,51.6743611,-1.2821216,51.29723,-0.1061029,91.8329898187563
Cuddington,,,933,S 420,1,Surrey,Kingston-on-Thames,51.3764891,-0.2554486,Shire match,,51.6743611,-1.2821216,51.3764891,-0.2554486,78.582143947583
Dritham,,,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,Cannot find,51.6743611,-1.2821216,,,
East Clandon,,,933,S 420,1,Surrey,Kingston-on-Thames,51.2568306,-0.4826123,Shire match,,51.6743611,-1.2821216,51.2568306,-0.4826123,72.4204717905854
Effingham,,,933,S 420,1,Surrey,Kingston-on-Thames,51.271863,-0.3977913,Shire match,,51.6743611,-1.2821216,51.271863,-0.3977913,76.0303531427327
Egham,,,933,S 420,1,Surrey,Kingston-on-Thames,51.4312585,-0.5473085,Shire match,,51.6743611,-1.2821216,51.4312585,-0.5473085,57.6985990262322
Epsom,,,933,S 420,1,Surrey,Kingston-on-Thames,51.3326098,-0.2678212,Shire match,,51.6743611,-1.2821216,51.3326098,-0.2678212,80.0354688544843
Folkestone,,,"927, 1035, 1051",S 398,1,Kent,Kingston-on-Thames,51.0791335,1.1794073,Shire match,,51.6743611,-1.2821216,51.0791335,1.1794073,183.727604924884
Folkestone,,,1035,S 981,1,Kent,Kingston-on-Thames,51.0791335,1.1794073,Shire match,,51.6743611,-1.2821216,51.0791335,1.1794073,183.727604924884
Folkestone,,,1051,S 1047,1,Kent,Kingston-on-Thames,51.0791335,1.1794073,Shire match,,51.6743611,-1.2821216,51.0791335,1.1794073,183.727604924884
Frimley,,,933,S 420,1,Surrey,Kingston-on-Thames,51.3140156,-0.7440667,Shire match,,51.6743611,-1.2821216,51.3140156,-0.7440667,54.8051806567183
Frimley,,,967,S 752,1,Surrey,Kingston-on-Thames,51.3140156,-0.7440667,Shire match,,51.6743611,-1.2821216,51.3140156,-0.7440667,54.8051806567183
"Getinges (cf. Eaton Farm,  Chobham)",51.3573767166966,-0.606937366646096,885,S 353,1,Surrey,Kingston-on-Thames,,,Not found,"Very unsure, just centred on Chobham",51.6743611,-1.2821216,51.3573767166966,-0.606937366646096,58.6550060416179
"Getinges (cf. Eaton Farm,  Chobham)",51.3573767166966,-0.606937366646096,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,"Very unsure, just centred on Chobham",51.6743611,-1.2821216,51.3573767166966,-0.606937366646096,58.6550060416179
Hunewaldesham (lost) in Weybridge,51.3663530677456,-0.445368679321105,885,S 353,1,Surrey,Kingston-on-Thames,,,Not found,Centred on Weybridge,51.6743611,-1.2821216,51.3663530677456,-0.445368679321105,67.4342114215502
Hunewaldesham (lost) in Weybridge,51.3663530677456,-0.445368679321105,933,S 420,1,Surrey,Kingston-on-Thames,,,Not found,Centred on Weybridge,51.6743611,-1.2821216,51.3663530677456,-0.445368679321105,67.4342114215502
Merstham,,,933,S 420,1,Surrey,Kingston-on-Thames,51.2641687,-0.150065,Shire match,,51.6743611,-1.2821216,51.2641687,-0.150065,90.9416815585948
Merstham,,,947,S 528,1,Surrey,Kingston-on-Thames,51.2641687,-0.150065,Shire match,,51.6743611,-1.2821216,51.2641687,-0.150065,90.9416815585948
